ZIP Code,covid_risk_risk
90001,Very high risk
90002,High risk
90003,Medium risk
90004,Medium risk
90005,Low risk
90006,High risk
90007,Very high risk
90008,Very high risk
90009,Unknown
90010,Low risk
90011,Very high risk
90012,Medium risk
90013,Medium risk
90014,Very high risk
90015,Low risk
90016,Medium risk
90017,Low risk
90018,Medium risk
90019,High risk
90020,High risk
90021,Low risk
90022,Very high risk
90023,Low risk
90024,Medium risk
90025,Medium risk
90026,Low risk
90027,Medium risk
90028,Low risk
90029,Very high risk
90030,Unknown
90031,Medium risk
90032,High risk
90033,Very high risk
90034,Medium risk
90035,High risk
90036,Medium risk
90037,Very high risk
90038,Low risk
90039,Medium risk
90040,Very high risk
90041,Very high risk
90042,High risk
90043,High risk
90044,Medium risk
90045,High risk
90046,High risk
90047,Low risk
90048,High risk
90049,High risk
90050,Unknown
90051,Unknown
90052,Unknown
90053,Unknown
90054,Unknown
90055,Unknown
90056,High risk
90057,Very high risk
90058,Very high risk
90059,Low risk
90060,Unknown
90061,Medium risk
90062,Low risk
90063,Low risk
90064,Medium risk
90065,High risk
90066,Medium risk
90067,Low risk
90068,High risk
90069,Very high risk
90070,Unknown
90071,Low risk
90072,Unknown
90073,Unknown
90074,Unknown
90075,Unknown
90076,Unknown
90077,High risk
90078,Unknown
90079,Unknown
90080,Unknown
90081,Unknown
90082,Unknown
90083,Unknown
90084,Unknown
90086,Unknown
90087,Unknown
90088,Unknown
90089,Low risk
90090,Unknown
90091,Unknown
90093,Unknown
90094,Medium risk
90095,Low risk
90096,Unknown
90099,Unknown
90134,Unknown
90189,Unknown
90201,High risk
90202,Unknown
90209,Unknown
90210,Medium risk
90211,High risk
90212,High risk
90213,Unknown
90220,Very high risk
90221,Medium risk
90222,Low risk
90223,Unknown
90224,Unknown
90230,High risk
90231,Unknown
90232,High risk
90233,Unknown
90239,Unknown
90240,Very high risk
90241,Very high risk
90242,Very high risk
90245,Medium risk
90247,Very high risk
90248,Very high risk
90249,Medium risk
90250,Low risk
90251,Unknown
90254,Medium risk
90255,Very high risk
90260,High risk
90261,Unknown
90262,Very high risk
90263,High risk
90264,Unknown
90265,High risk
90266,High risk
90267,Unknown
90270,Very high risk
90272,Medium risk
90274,Medium risk
90275,High risk
90277,High risk
90278,High risk
90280,Very high risk
90290,Low risk
90291,High risk
90292,Medium risk
90293,Low risk
90294,Unknown
90295,Unknown
90296,Unknown
90301,Very high risk
90302,Very high risk
90303,Very high risk
90304,High risk
90305,Very high risk
90306,Unknown
90307,Unknown
90308,Unknown
90309,Unknown
90310,Unknown
90311,Unknown
90312,Unknown
90401,High risk
90402,High risk
90403,Low risk
90404,High risk
90405,High risk
90406,Unknown
90407,Unknown
90408,Unknown
90409,Unknown
90410,Unknown
90411,Unknown
90501,Very high risk
90502,High risk
90503,Very high risk
90504,Very high risk
90505,Very high risk
90506,Unknown
90507,Unknown
90508,Unknown
90509,Unknown
90510,Unknown
90601,Low risk
90602,Very high risk
90603,Very high risk
90604,Low risk
90605,Very high risk
90606,Very high risk
90607,Unknown
90608,Unknown
90609,Unknown
90610,Unknown
90637,Unknown
90638,High risk
90639,Unknown
90640,Very high risk
90650,Very high risk
90651,Unknown
90652,Unknown
90660,Very high risk
90661,Unknown
90662,Unknown
90670,High risk
90671,Unknown
90701,High risk
90702,Unknown
90703,High risk
90704,Unknown
90706,Very high risk
90707,Unknown
90710,High risk
90711,Unknown
90712,Very high risk
90713,Very high risk
90714,Unknown
90715,Very high risk
90716,High risk
90717,Low risk
90723,Very high risk
90731,Very high risk
90732,Low risk
90733,Unknown
90734,Unknown
90744,Very high risk
90745,Very high risk
90746,Very high risk
90747,Unknown
90748,Unknown
90749,Unknown
90755,Very high risk
90801,Unknown
90802,Very high risk
90803,Very high risk
90804,Very high risk
90805,Very high risk
90806,Medium risk
90807,Very high risk
90808,Very high risk
90809,Unknown
90810,Very high risk
90813,Very high risk
90814,Very high risk
90815,Very high risk
90822,Very high risk
90831,Unknown
90832,Unknown
90833,Unknown
90840,Unknown
90842,Unknown
90844,Unknown
90846,Unknown
90847,Unknown
90848,Unknown
90853,Unknown
90895,Unknown
91001,High risk
91003,Unknown
91006,Low risk
91007,High risk
91008,Medium risk
91009,Unknown
91010,High risk
91011,High risk
91012,Unknown
91016,High risk
91017,Unknown
91020,Low risk
91021,Unknown
91023,Unknown
91024,Medium risk
91025,Unknown
91030,High risk
91031,Unknown
91040,Low risk
91041,Unknown
91042,High risk
91043,Unknown
91046,Unknown
91066,Unknown
91077,Unknown
91101,Very high risk
91102,Unknown
91103,Very high risk
91104,Very high risk
91105,Very high risk
91106,Very high risk
91107,Low risk
91108,Medium risk
91109,Unknown
91110,Unknown
91114,Unknown
91115,Unknown
91116,Unknown
91117,Unknown
91118,Unknown
91121,Unknown
91123,Unknown
91124,Unknown
91125,Unknown
91126,Unknown
91129,Unknown
91182,Unknown
91184,Unknown
91185,Unknown
91188,Unknown
91189,Unknown
91199,Unknown
91201,Very high risk
91202,Very high risk
91203,Very high risk
91204,Very high risk
91205,Very high risk
91206,Very high risk
91207,Very high risk
91208,Very high risk
91209,Unknown
91210,Very high risk
91214,Medium risk
91221,Unknown
91222,Unknown
91224,Unknown
91225,Unknown
91226,Unknown
91301,Medium risk
91302,High risk
91303,Very high risk
91304,Very high risk
91305,Unknown
91306,Very high risk
91307,High risk
91308,Unknown
91309,Unknown
91310,Unknown
91311,Very high risk
91313,Unknown
91316,High risk
91321,Low risk
91322,Unknown
91324,Very high risk
91325,Very high risk
91326,High risk
91327,Unknown
91328,Unknown
91329,Unknown
91330,Very high risk
91331,High risk
91333,Unknown
91334,Unknown
91335,Very high risk
91337,Unknown
91340,High risk
91341,Unknown
91342,Low risk
91343,Very high risk
91344,Very high risk
91345,Very high risk
91346,Unknown
91350,Very high risk
91351,Medium risk
91352,Very high risk
91353,Unknown
91354,Low risk
91355,Low risk
91356,Very high risk
91357,Unknown
91364,High risk
91365,Unknown
91367,High risk
91371,High risk
91372,Unknown
91376,Unknown
91380,Unknown
91381,Low risk
91382,Unknown
91383,Unknown
91384,Very high risk
91385,Unknown
91386,Unknown
91387,Medium risk
91390,Low risk
91392,Unknown
91393,Unknown
91394,Unknown
91395,Unknown
91396,Unknown
91401,Medium risk
91402,Very high risk
91403,Very high risk
91404,Unknown
91405,Very high risk
91406,High risk
91407,Unknown
91408,Unknown
91409,Unknown
91410,Unknown
91411,Very high risk
91412,Unknown
91413,Unknown
91416,Unknown
91423,Very high risk
91426,Unknown
91436,High risk
91470,Unknown
91482,Unknown
91495,Unknown
91496,Unknown
91499,Unknown
91501,High risk
91502,High risk
91503,Unknown
91504,High risk
91505,High risk
91506,High risk
91507,Unknown
91508,Unknown
91510,Unknown
91521,Unknown
91522,Unknown
91523,Unknown
91526,Unknown
91601,Low risk
91602,Medium risk
91603,Unknown
91604,High risk
91605,Very high risk
91606,Very high risk
91607,High risk
91608,Unknown
91609,Unknown
91610,Unknown
91611,Unknown
91612,Unknown
91614,Unknown
91615,Unknown
91616,Unknown
91617,Unknown
91618,Unknown
91702,High risk
91706,Very high risk
91711,High risk
91714,Unknown
91715,Unknown
91716,Unknown
91722,High risk
91723,High risk
91724,High risk
91731,Very high risk
91732,Very high risk
91733,High risk
91734,Unknown
91735,Unknown
91740,Very high risk
91741,Very high risk
91744,Low risk
91745,High risk
91746,Medium risk
91747,Unknown
91748,High risk
91749,Unknown
91750,Medium risk
91754,High risk
91755,High risk
91756,Unknown
91765,Medium risk
91766,Very high risk
91767,Very high risk
91768,Low risk
91769,Unknown
91770,High risk
91771,Unknown
91772,Unknown
91773,High risk
91775,High risk
91776,High risk
91778,Unknown
91780,Low risk
91788,Unknown
91789,Medium risk
91790,High risk
91791,High risk
91792,High risk
91793,Unknown
91801,Very high risk
91802,Unknown
91803,Very high risk
91804,Unknown
91896,Unknown
91899,Unknown
93510,Low risk
93532,Medium risk
93534,Low risk
93535,Low risk
93536,Low risk
93539,Unknown
93543,Medium risk
93544,Low risk
93550,Very high risk
93551,Low risk
93552,Low risk
93553,Very high risk
93563,Low risk
93584,Unknown
93586,Unknown
93590,Unknown
93591,Very high risk
93599,Unknown
